pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TC	UKBB	1	1	1558	1.0094816845248615	0.050903263097296925	5.346361870845039e-4	5500	160.798078298569	3.8592912449003675e-5	1.971548384641067e-5	0	0	0	0	3.5923405668223193e-4	3.175343027158752e-4	0	0	0	0	1.782682092781811e-5	5.17990064885604e-5	0	0	0	0
TC	UKBB	1	2	1781	1.0237957870005396	0.07535930746057325	0.0012844293983962061	5500	231.231314659119	7.038826807748602e-5	2.8396457889918372e-5	0	0	0	0	0.0014611208861856364	9.261508552841001e-4	0	0	0	0	9.266943530897503e-5	1.9058072277946126e-4	0	0	0	0
TC	UKBB	1	4	2434	1.0260412186743186	0.10493959025573732	5.979789281576329e-4	5500	384.116226673126	1.0382553589782895e-4	3.664427849611559e-5	0	0	0	0	8.844140006838068e-4	5.091839210982773e-4	0	0	0	0	4.6331309395349654e-4	7.620750751876175e-4	0	0	0	0
TC	UKBB	1	17	7456	1.0415745354795327	0.08305617501773424	0.006160573899420124	5500	4109.66607570648	2.4532726284754873e-4	5.5947723198540494e-5	0	0	0	0	0.00396814085364503	0.0014173868642294411	0	0	0	0	0.0017435043455198103	0.001190377313678541	0	0	0	0
TC	UKBB	1	19	6365	1.1198060990728074	0.09814854667244194	0.0031399316650553037	5500	2820.64459395409	3.8556395378039685e-4	6.94775995790589e-5	0	0	1	5	0.003687805616948722	0.0013300690131662501	0	0	0	0	0.001734688489804954	0.0012514915885775291	0	0	0	0
TC	UKBB	1	35	7642	1.0551648721711882	0.07376636474961695	0.0036319332608086693	5500	3819.14608073235	3.230590081260888e-4	6.300929504361391e-5	0	0	1	35	0.003205735620712416	0.0011673244876067384	0	0	0	0	0.0012429036722161177	9.326211747500273e-4	0	0	0	0
TC	UKBB	1	40	2451	1.038194557279062	0.08779251734335314	0.0019231693081050336	5500	484.743832588196	1.5156219144759852e-4	4.444363952946476e-5	0	0	0	0	0.0014478544312910631	8.404069725524248e-4	0	0	0	0	7.52637621641471e-4	8.284052148748784e-4	0	0	0	0
TC	UKBB	1	48	2962	1.050222239954878	0.07646312705310729	0.005894217463354217	6500	796.148115873337	3.8292893692940666e-4	7.280677379394073e-5	0	1	1	12	0.0018334886516876224	9.238443997704892e-4	0	0	0	0	5.093637247155686e-4	4.672472375193515e-4	0	0	0	0
TC	UKBB	1	49	2814	1.0451392927601386	0.08208491152614764	0.008769873080443122	5500	527.475833415985	1.5429073861142621e-4	4.7678706635256805e-5	0	0	0	0	0.0018896972458086086	0.0011131756052334932	0	0	0	0	5.262287354087671e-4	6.150924999743175e-4	0	0	0	0
TC	UKBB	1	51	2775	1.0630390230460158	0.08807264683762762	0.007712893507442003	5500	537.206459999084	5.13075936130583e-4	7.771888351936351e-5	0	0	1	23	0.0031277304432541023	0.0014662945431351006	0	0	0	0	0.0012412870930129847	0.0011907913647470824	0	0	0	0
TC	UKBB	1	52	7761	1.0512092303398277	0.08517023169233423	0.0034565243585061756	5500	4506.38809895515	4.1276030387091896e-4	7.3898839162862e-5	0	0	2	95	0.005760784955608334	0.0018556177260072827	0	0	0	0	0.0016042773343596366	0.0010114518402278365	0	0	0	0
TC	UKBB	1	53	6819	1.0289897852967629	0.07609382576476184	0.0017517420960625934	5500	2949.56494903564	2.711943220629047e-4	5.744898945681807e-5	0	0	0	0	0.002867421474710003	0.0011236654009931825	0	0	0	0	9.462121158400864e-4	7.233872538881965e-4	0	0	0	0
TC	UKBB	1	58	8070	1.1323148687705111	0.10968047436410636	0.007298943912666248	5500	4257.49116754532	2.831621544316065e-4	6.09642161142899e-5	0	0	0	0	0.004306430343792193	0.0015133593840394078	0	0	0	0	0.0019390093521610705	0.0016343471029686481	0	0	0	0
TC	UKBB	1	67	5205	1.0554276961554134	0.09843658155846217	0.0173105749915012	5500	1912.11885976791	2.8508514315761524e-4	6.274014099434806e-5	0	0	0	0	0.005746860232932084	0.0020348965796210903	0	1	0	0	0.0024113795113659855	0.001671239314954542	0	0	0	0
TC	UKBB	1	70	5239	1.0874910085999951	0.09601397496158127	0.0033823445355730423	5500	1996.46849989891	2.7810155237665836e-4	5.691282698669479e-5	0	0	0	0	0.0032091234077394845	0.001264313281194394	0	0	0	0	0.001358362270788279	9.581732631537778e-4	0	0	0	0
TC	UKBB	1	73	7405	1.0551181515827737	0.07596997664439067	0.001824503987846323	5500	3637.95175933838	2.3500989568259794e-4	5.834491672177022e-5	0	0	0	0	0.0032872913058925564	0.0011583365337414465	0	0	0	0	0.0016084282911006486	0.0011763353564639804	0	0	0	0
TC	UKBB	1	74	7092	1.0500672068294907	0.092573014356724	0.002575594949012728	5500	3232.23322916031	2.7087813323566247e-4	6.340792168938176e-5	0	0	0	0	0.00281734683487924	0.001032303155730263	0	0	0	0	0.0012935117661963546	0.0010458650283507406	0	0	0	0
TC	UKBB	1	75	9345	1.0426055352974295	0.11606224503388682	0.002185860582871345	5500	5766.83733463287	4.609296916052763e-4	7.4947521383266e-5	0	0	1	31	0.004571637975487994	0.0014291649415991007	0	0	0	0	0.002197065111087949	0.0012334330838671714	0	0	0	0
